artist,total_plays,jon,ico,matt,austin
Rush,59749629,15363,172,1049,3
Billy Joel,45554961,9485,31,4,26
King Gizzard & The Lizard Wizard,35673913,8367,763,1610,18
The Beatles,607672063,5640,208,42,4
Yes,28545615,4183,124,827,3
Queens of the Stone Age,160297801,3919,162,3250,0
Queen,237478483,3849,22,0,4
Arctic Monkeys,410638374,3093,0,34,0
Led Zeppelin,214965149,2979,65,1037,6
ABBA,65856616,2966,85,27,0
Arcade Fire,201156719,2906,23,316,0
Carly Rae Jepsen,61924239,2616,4320,323,0
Twenty One Pilots,103563130,2369,22,6,0
Mayday Parade,30354466,2303,0,0,0
Supertramp,25473081,1740,0,179,4
Blue Öyster Cult,22416338,1586,0,31,3
David Bowie,235293650,1475,176,95,3
Foo Fighters,217187399,1410,0,813,1
The 1975,80935342,1297,0,0,2
Royal Blood,21621591,1250,0,391,0
Vampire Weekend,118325483,1180,59,0,0
The Beach Boys,88835013,1173,273,55,0
Parquet Courts,15804146,1114,41,1025,0
Simon & Garfunkel,73193761,934,0,30,10
The Cars,14434314,931,0,38,5
Radiohead,590384868,927,2949,3576,0
The Zombies,17187193,915,0,4,0
Catfish and The Bottlemen,15015755,912,0,22,0
Bring Me the Horizon,124926333,865,0,0,1
Tom Petty and The Heartbreakers,25138798,825,0,0,6
Talking Heads,66639971,768,301,502,5
Boston,17860577,767,0,6,13
The Mamas & the Papas,16425637,760,0,3,0
Black Sabbath,118265581,666,40,334,34
Love,10681006,666,0,116,4
Blossoms,5718950,663,0,0,0
The Smiths,196548326,649,0,11,0
Mac DeMarco,66795842,629,0,789,4
Fleetwood Mac,101091520,616,93,173,4
Styx,11637070,611,0,10,2
Broken Bells,25628019,567,0,2,0
Electric Light Orchestra,39590426,482,203,105,12
Greta Van Fleet,9506940,480,0,114,0
LCD Soundsystem,59146068,466,108,2,0
The Mars Volta,53015721,465,22,1006,0
Steely Dan,26413833,451,0,4,14
Thee Oh Sees,14196280,411,106,345,2
Alex Cameron,2795768,402,849,4,18
Kansas,16847823,368,0,7,0
Nick Drake,51922354,306,166,203,6
Pipe-Eye,281557,301,0,11,0
The Black Keys,145445743,285,0,0,3
CHON,5062461,277,0,0,0
The Orb,8559823,276,0,61,2
Billy Talent,73473221,265,0,141,1
King Crimson,34291091,259,93,271,0
Metallica,316847274,253,114,706,9
The Doors,149746282,244,0,41,2
The Police,54198187,243,0,13,0
The Standells,591140,242,0,4,0
Stonefield,371614,237,0,6,0
Billie Eilish,147939614,228,61,0,0
Ed Sheeran,127818350,216,0,1,3
Caravan,3307116,215,0,54,2
a-ha,33559073,206,0,1,7
Townes Van Zandt,11726437,198,0,45,7
Erickson,200981,194,0,26,1
Beans,584731,189,0,15,1
Andy Shauf,3589911,169,0,3,1
Avenged Sevenfold,111472331,167,0,1,0
Paul Simon,32857231,160,0,24,13
Relient K,25207717,159,0,0,0
Tom Petty,18085293,158,0,0,9
Fleet Foxes,81590433,155,70,583,14
Yellow Magic Orchestra,6248528,151,0,0,0
Asia,6178910,149,0,0,0
Babe Rainbow,1937691,146,0,579,1
Omni,931924,146,0,3,0
Joni Mitchell,29764407,140,100,4,2
The Alan Parsons Project,16878749,139,0,0,0
Return to Forever,1914938,135,0,0,0
The Dave Brubeck Quartet,8388891,135,0,178,34
Imagine Dragons,112907860,127,0,0,0
Toto,27982688,124,21,2,2
Ariana Grande,294101954,117,45,2,0
Post Animal,1268228,116,0,95,0
Dean Friedman,94253,115,0,0,1
Ghost,37314295,115,0,0,0
Genesis,45059808,110,0,0,6
Bob Dylan,176930820,105,91,1,5
Booker-T,4383,103,0,1,1
Halloweens,108879,103,0,12,0
Van Halen,46460993,103,0,0,18
Pink Floyd,364452246,101,144,184,2
Hozier,46592884,99,0,0,0
Levitation Room,709323,98,0,103,0
The Clash,95249746,97,39,4,2
Camel,15063594,88,144,26,2
Snail Mail,9584793,88,1536,137,0
Journey,32901374,87,0,1,5
Animal Collective,88483538,84,3688,266,0
My Chemical Romance,168716576,84,0,0,0
The Strokes,218922335,84,73,232,0
SLIFT,377343,81,38,165,6
Wand,1601284,81,0,28,2
Red Hot Chili Peppers,331974581,80,0,875,9
Tender,2213349,80,0,0,0
Charles Manson,1566017,77,0,0,3
Creedence Clearwater Revival,70269611,77,0,4,27
The Kinks,59445895,77,0,2,0
"Crosby, Stills & Nash",8782781,76,0,29,1
Elton John,71578397,76,23,2,6
Sam Smith,49944357,75,0,0,0
Alice Phoebe Lou,1654659,73,0,0,0
Tame Impala,132046021,73,45,1606,8
Bruce Springsteen,93104159,69,58,0,1
Lolo Zouaï,2256204,68,340,0,0
Paul McCartney,40535656,67,0,0,0
St John,35064,67,0,10,0
Kate Bush,56916541,63,36,14,1
Yusuf,553984,60,0,2,0
Lorde,146941429,59,790,0,0
Vinyl Theatre,1047891,59,0,0,0
Selena Gomez,95488027,58,0,0,0
The Turtles,6885215,58,0,0,0
Anderson Bruford Wakeman Howe,414800,57,0,0,0
Sugar Candy Mountain,1179508,57,0,65,0
Best Coast,26293466,56,0,0,0
Dream Theater,103752935,56,0,0,0
Frankie and the Witch Fingers,377250,56,0,0,0
Van Morrison,38389235,54,0,7,16
Hall,50029,52,0,8,0
Beastie Boys,84231263,51,30,1,5
Beck,112593276,51,251,794,0
Daniel Johnston,11802292,50,0,3,2
Television,9947399,49,60,23,0
Hans Zimmer,86961824,48,0,0,0
Angel Olsen,19961730,46,3246,3,0
"Crosby, Stills, Nash & Young",12557217,46,0,4,3
Frankie Valli & the Four Seasons,5588830,46,0,0,3
Billy Idol,21123213,45,0,3,4
Kendrick Lamar,185652551,44,1905,1938,17
"Peter, Paul & Mary",3272205,44,0,0,2
Phoebe Bridgers,50562830,44,416,0,0
The Knife,60311799,44,564,393,0
Tori Kelly,5528849,44,0,0,0
Hall & Oates,18510726,43,0,0,10
Sweet,6207102,42,0,3,3
Thelonious Monk,14155525,42,0,5,0
