track,scrobbles,user
Rush - Lakeside Park,396,JBreidfjord
Rush - Tom Sawyer,337,JBreidfjord
Rush - The Trees,311,JBreidfjord
Rush - A Farewell to Kings,306,JBreidfjord
Rush - La Villa Strangiato,288,JBreidfjord
Rush - The Camera Eye,271,JBreidfjord
Rush - Cygnus X-1,270,JBreidfjord
Rush - Xanadu,257,JBreidfjord
Billy Joel - Vienna,252,JBreidfjord
Queens of the Stone Age - No One Knows,251,JBreidfjord
Rush - The Fountain of Lamneth,245,JBreidfjord
Rush - Red Barchetta,240,JBreidfjord
Rush - Bastille Day,239,JBreidfjord
Rush - Fly by Night,235,JBreidfjord
Rush - Anthem,226,JBreidfjord
Rush - Circumstances,226,JBreidfjord
Billy Joel - Los Angelenos,223,JBreidfjord
Rush - Freewill,223,JBreidfjord
Rush - YYZ,220,JBreidfjord
Rush - Jacob's Ladder,213,JBreidfjord
Billy Joel - Falling of the Rain,210,JBreidfjord
Rush - New World Man,210,JBreidfjord
Billy Joel - All For Leyna,207,JBreidfjord
Rush - The Spirit of Radio,197,JBreidfjord
Billy Joel - Only the Good Die Young,196,JBreidfjord
Billy Joel - You Can Make Me Free,192,JBreidfjord
Rush - Madrigal,191,JBreidfjord
Rush - Limelight,189,JBreidfjord
Rush - Chemistry,187,JBreidfjord
Billy Joel - C'etait toi (You Were the One),184,JBreidfjord
Rush - Digital Man,184,JBreidfjord
Billy Joel - Laura,181,JBreidfjord
Twenty One Pilots - Ode to Sleep,179,JBreidfjord
Rush - Distant Early Warning,178,JBreidfjord
Rush - In the End,176,JBreidfjord
Billy Joel - Tomorrow Is Today,175,JBreidfjord
Rush - Cinderella Man,173,JBreidfjord
twenty one pilots - Not Today,166,JBreidfjord
Rush - Something for Nothing,165,JBreidfjord
Billy Joel - Keeping the Faith,164,JBreidfjord
Rush - Vital Signs,163,JBreidfjord
Twenty One Pilots - Tear in My Heart,163,JBreidfjord
Billy Joel - I Don't Want to Be Alone,162,JBreidfjord
Billy Joel - All You Wanna Do Is Dance,161,JBreidfjord
Rush - Closer to the Heart,160,JBreidfjord
Rush - I Think I'm Going Bald,160,JBreidfjord
Billy Joel - Everybody Loves You Now,159,JBreidfjord
Rush - Best I Can,158,JBreidfjord
Billy Joel - Sleeping With the Television On,156,JBreidfjord
Rush - Entre Nous,156,JBreidfjord
Rush - Working Man,154,JBreidfjord
Rush - Losing It,153,JBreidfjord
Twenty One Pilots - Migraine,153,JBreidfjord
Rush - Subdivisions,152,JBreidfjord
Led Zeppelin - Moby Dick,150,JBreidfjord
Billy Joel - Running On Ice,149,JBreidfjord
Billy Joel - Prelude / Angry Young Man,147,JBreidfjord
Rush - Natural Science,147,JBreidfjord
Billy Joel - Leave a Tender Moment Alone,145,JBreidfjord
Rush - Lessons,145,JBreidfjord
Rush - The Analog Kid,144,JBreidfjord
Parquet Courts - Tenderness,142,JBreidfjord
Billy Joel - Got to Begin Again,140,JBreidfjord
"Yes - And You and I (I. Cord of Life, II. Eclipse, III. The Preacher the Teacher, IV. Apocalypse)",139,JBreidfjord
Rush - Tom Sawyer - Live In Canada/1980,136,JBreidfjord
twenty one pilots - We Don't Believe What's on TV,135,JBreidfjord
Twenty One Pilots - Car Radio,135,JBreidfjord
Billy Joel - It's Still Rock and Roll to Me,133,JBreidfjord
Rush - La Villa Strangiato - Live In Canada/1980,132,JBreidfjord
Rush - Countdown,131,JBreidfjord
Rush - Cygnus X-1 Book II,130,JBreidfjord
Rush - Before and After,129,JBreidfjord
The Beatles - Martha My Dear - Remastered,129,JBreidfjord
The Mamas & the Papas - Creeque Alley - Single Version,129,JBreidfjord
"Yes - Close To The Edge (I. The Solid Time Of Change, II. Total Mass Retain, III. I Get Up I Get Down, IV. Seasons Of Man) - Remastered",129,JBreidfjord
Rush - The Twilight Zone,128,JBreidfjord
Yes - Long Distance Runaround - Remastered Version,128,JBreidfjord
Rush - By-Tor & The Snow Dog - At The Tobes Of Hades / Across The Styx / Of The Battle / Epilogue - Medley/Album Version,127,JBreidfjord
Yes - Siberian Khatru - Remastered,127,JBreidfjord
Billy Joel - She's Got a Way,126,JBreidfjord
Rush - By-Tor and the Snow Dog,126,JBreidfjord
Rush - Freewill - Live In Canada/1980,126,JBreidfjord
Rush - Red Lenses,126,JBreidfjord
Rush - Different Strings,125,JBreidfjord
Billy Joel - Scenes from an Italian Restaurant,124,JBreidfjord
Rush - Need Some Love,124,JBreidfjord
Rush - The Trees - Live In Canada/1980,124,JBreidfjord
Rush - What You're Doing,123,JBreidfjord
Rush - Witch Hunt (Part III of Fear),122,JBreidfjord
Billy Joel - Pressure,121,JBreidfjord
Rush - The Necromancer,121,JBreidfjord
Billy Joel - Weekend Song,120,JBreidfjord
Rush - Take a Friend,120,JBreidfjord
"Mayday Parade - Sorry, Not Sorry",118,JBreidfjord
Rush - In the Mood,118,JBreidfjord
Rush - The Enemy Within,118,JBreidfjord
Rush - The Spirit Of Radio - Live In Canada/1980,118,JBreidfjord
Billy Joel - Don't Ask Me Why,117,JBreidfjord
Rush - Finding My Way,117,JBreidfjord
Rush - Hemispheres - Prelude / Apollo / Dionysus / Armageddon / Cygnus / The Sphere - Medley/Album Version,117,JBreidfjord
Rush - Making Memories,117,JBreidfjord
Billy Joel - Movin' Out (Anthony's Song),116,JBreidfjord
King Gizzard & The Lizard Wizard - Wah Wah,116,JBreidfjord
Rush - Natural Science - Tide Pools / Hyperspace / Permanent - Medley/Album Version,116,JBreidfjord
Yes - Tempus Fugit,115,JBreidfjord
Yes - Yesterday And Today - Remastered,115,JBreidfjord
Billy Joel - She's Always a Woman,114,JBreidfjord
"Billy Joel - Summer, Highland Falls",114,JBreidfjord
Queens of the Stone Age - The Way You Used to Do,114,JBreidfjord
Rush - A Passage to Bangkok,114,JBreidfjord
Bring Me the Horizon - What You Need,113,JBreidfjord
